"REF_DATE","GEO","DGUID","Level of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","9794","","","","0"
"2010/2011","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5146","","","","0"
"2010/2011","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5401","","","","0"
"2010/2011","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","16843","","","","0"
"2010/2011","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","12666","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2649","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2456","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9758","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2790","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5131","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","3913","","","","0"
"2010/2011","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","23337","","","","0"
"2010/2011","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","8026","","","","0"
"2010/2011","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5497","","","","0"
"2010/2011","Nova Scotia","2016A000212","Canadian graduate","Dollars","81","units ","0","v96320865","4.2","7157","","","","0"
"2010/2011","Nova Scotia","2016A000212","International undergraduate","Dollars","81","units ","0","v96320866","4.3","12433","","","","0"
"2010/2011","Nova Scotia","2016A000212","International graduate","Dollars","81","units ","0","v96320867","4.4","14325","","","","0"
"2010/2011","New Brunswick","2016A000213","Canadian undergraduate","Dollars","81","units ","0","v96320868","5.1","5647","","","","0"
"2010/2011","New Brunswick","2016A000213","Canadian graduate","Dollars","81","units ","0","v96320869","5.2","5034","","","","0"
"2010/2011","New Brunswick","2016A000213","International undergraduate","Dollars","81","units ","0","v96320870","5.3","11660","","","","0"
"2010/2011","New Brunswick","2016A000213","International graduate","Dollars","81","units ","0","v96320871","5.4","8965","","","","0"
"2010/2011","Quebec","2016A000224","Canadian undergraduate","Dollars","81","units ","0","v96320872","6.1","2411","","","","0"
"2010/2011","Quebec","2016A000224","Canadian graduate","Dollars","81","units ","0","v96320873","6.2","2601","","","","0"
"2010/2011","Quebec","2016A000224","International undergraduate","Dollars","81","units ","0","v96320874","6.3","15999","","","","0"
"2010/2011","Quebec","2016A000224","International graduate","Dollars","81","units ","0","v96320875","6.4","14623","","","","0"
"2010/2011","Ontario","2016A000235","Canadian undergraduate","Dollars","81","units ","0","v96320876","7.1","6316","","","","0"
"2010/2011","Ontario","2016A000235","Canadian graduate","Dollars","81","units ","0","v96320877","7.2","7181","","","","0"
"2010/2011","Ontario","2016A000235","International undergraduate","Dollars","81","units ","0","v96320878","7.3","19098","","","","0"
"2010/2011","Ontario","2016A000235","International graduate","Dollars","81","units ","0","v96320879","7.4","14920","","","","0"
"2010/2011","Manitoba","2016A000246","Canadian undergraduate","Dollars","81","units ","0","v96320880","8.1","3593","","","","0"
"2010/2011","Manitoba","2016A000246","Canadian graduate","Dollars","81","units ","0","v96320881","8.2","4132","","","","0"
"2010/2011","Manitoba","2016A000246","International undergraduate","Dollars","81","units ","0","v96320882","8.3","11754","","","","0"
"2010/2011","Manitoba","2016A000246","International graduate","Dollars","81","units ","0","v96320883","8.4","8204","","","","0"
"2010/2011","Saskatchewan","2016A000247","Canadian undergraduate","Dollars","81","units ","0","v96320884","9.1","5431","","","","0"
"2010/2011","Saskatchewan","2016A000247","Canadian graduate","Dollars","81","units ","0","v96320885","9.2","3434","","","","0"
"2010/2011","Saskatchewan","2016A000247","International undergraduate","Dollars","81","units ","0","v96320886","9.3","13815","","","","0"
"2010/2011","Saskatchewan","2016A000247","International graduate","Dollars","81","units ","0","v96320887","9.4","3517","","","","0"
"2010/2011","Alberta","2016A000248","Canadian undergraduate","Dollars","81","units ","0","v96320888","10.1","5505","","","","0"
"2010/2011","Alberta","2016A000248","Canadian graduate","Dollars","81","units ","0","v96320889","10.2","4672","","","","0"
"2010/2011","Alberta","2016A000248","International undergraduate","Dollars","81","units ","0","v96320890","10.3","17652","","","","0"
"2010/2011","Alberta","2016A000248","International graduate","Dollars","81","units ","0","v96320891","10.4","9408","","","","0"
"2010/2011","British Columbia","2016A000259","Canadian undergraduate","Dollars","81","units ","0","v96320892","11.1","4758","","","","0"
"2010/2011","British Columbia","2016A000259","Canadian graduate","Dollars","81","units ","0","v96320893","11.2","7178","","","","0"
"2010/2011","British Columbia","2016A000259","International undergraduate","Dollars","81","units ","0","v96320894","11.3","17170","","","","0"
"2010/2011","British Columbia","2016A000259","International graduate","Dollars","81","units ","0","v96320895","11.4","10930","","","","0"
"2011/2012","Canada","2016A000011124","Canadian undergraduate","Dollars","81","units ","0","v96320852","1.1","5313","","","","0"
"2011/2012","Canada","2016A000011124","Canadian graduate","Dollars","81","units ","0","v96320853","1.2","5450","","","","0"
"2011/2012","Canada","2016A000011124","International undergraduate","Dollars","81","units ","0","v96320854","1.3","17668","","","","0"
"2011/2012","Canada","2016A000011124","International graduate","Dollars","81","units ","0","v96320855","1.4","12835","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Canadian undergraduate","Dollars","81","units ","0","v96320856","2.1","2649","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Canadian graduate","Dollars","81","units ","0","v96320857","2.2","2456","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","International undergraduate","Dollars","81","units ","0","v96320858","2.3","9758","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","International graduate","Dollars","81","units ","0","v96320859","2.4","2789","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Canadian undergraduate","Dollars","81","units ","0","v96320860","3.1","5258","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Canadian graduate","Dollars","81","units ","0","v96320861","3.2","3992","","","","0"
"2011/2012","Prince Edward Island","2016A000211","International undergraduate","Dollars","81","units ","0","v96320862","3.3","24251","","","","0"
"2011/2012","Prince Edward Island","2016A000211","International graduate","Dollars","81","units ","0","v96320863","3.4","9370","","","","0"
"2011/2012","Nova Scotia","2016A000212","Canadian undergraduate","Dollars","81","units ","0","v96320864","4.1","5722","","","","0"
